source,source_job_id,job_url,title,company,location,salary,experience,employment_type,skills,description,posted_date
sample_csv,SAMPLE-001,https://example.com/jobs/sample-001,Data Analyst Intern,InsightWorks,Bengaluru India,INR 20000 per month,0-1 years,internship,"SQL, Excel, Python, Tableau","Analyze hiring datasets, build SQL reports, and support dashboard preparation.",2026-06-01
sample_csv,SAMPLE-002,https://example.com/jobs/sample-002,Junior Python Developer,CloudNova,Remote India,INR 500000 per year,0-2 years,full-time,"Python, FastAPI, REST APIs, PostgreSQL","Build Python services, work with APIs, and collaborate with data teams.",2026-06-03
sample_csv,SAMPLE-003,https://example.com/jobs/sample-003,Machine Learning Trainee,SkillForge,Pune India,INR 25000 per month,0-1 years,internship,"Python, Scikit-Learn, Pandas, Machine Learning","Assist with model experiments, clean datasets, and document ML findings.",2026-06-05
sample_csv,SAMPLE-004,https://example.com/jobs/sample-004,Business Intelligence Analyst,MarketPulse,Mumbai India,INR 750000 per year,2-4 years,full-time,"SQL, Power BI, Tableau, Data Modeling","Create business dashboards, define KPIs, and communicate market insights to stakeholders.",2026-06-07
sample_csv,SAMPLE-005,https://example.com/jobs/sample-005,Data Engineer Associate,DataBridge,Hyderabad India,INR 900000 per year,1-3 years,full-time,"Python, SQL, Airflow, PostgreSQL, ETL","Build data pipelines, maintain warehouse tables, and monitor scheduled ingestion jobs.",2026-06-08
sample_csv,SAMPLE-006,https://example.com/jobs/sample-006,Frontend Developer Intern,PixelStack,Kathmandu Nepal,NPR 25000 per month,0-1 years,internship,"HTML, CSS, JavaScript, React","Implement responsive interfaces and collaborate with designers on product screens.",2026-06-09
sample_csv,SAMPLE-007,https://example.com/jobs/sample-007,NLP Research Assistant,LanguageLabs,Remote India,INR 35000 per month,0-2 years,contract,"Python, spaCy, NLP, Text Classification","Support text extraction experiments and evaluate skill detection from job descriptions.",2026-06-10
sample_csv,SAMPLE-008,https://example.com/jobs/sample-008,Cloud Data Analyst,Northstar Analytics,Delhi India,INR 850000 per year,2-5 years,full-time,"SQL, BigQuery, Python, Looker","Analyze cloud product usage, write analytical queries, and publish weekly insight reports.",2026-06-11
sample_csv,SAMPLE-009,https://example.com/jobs/sample-009,Recruitment Data Coordinator,HireSignal,Remote India,INR 450000 per year,1-2 years,full-time,"Excel, SQL, Data Cleaning, Reporting","Maintain recruitment datasets, clean job records, and prepare hiring trend summaries.",2026-06-12
sample_csv,SAMPLE-010,https://example.com/jobs/sample-010,AI Product Analyst,FutureWorks,Bengaluru India,INR 1200000 per year,3-5 years,full-time,"Python, Product Analytics, SQL, Generative AI","Study product usage data, evaluate AI feature adoption, and translate findings into roadmap recommendations.",2026-06-13
